Date,WindSpeed,Sunshine,AirPressure,Radiation,RelativeAirHumidity,hour,dayofweek,dayofyear
2017-01-03T02:00:00.000000,0.6,0.0,1008.4,-5.6,80,2,2,3
2017-01-03T03:00:00.000000,0.7,0.0,1007.7,-5.8,81,3,2,3
2017-01-03T04:00:00.000000,0.8,0.0,1006.9,-6.2,80,4,2,3
2017-01-03T05:00:00.000000,1.6,0.0,1005.5,-6.9,81,5,2,3
2017-01-03T06:00:00.000000,0.4,0.0,1004.5,-6.1,84,6,2,3
2017-01-03T07:00:00.000000,0.1,0.0,1003.1,-6.1,82,7,2,3
2017-01-03T08:00:00.000000,0.3,0.0,1001.4,-6.4,80,8,2,3
2017-01-03T09:00:00.000000,0.5,0.0,1000.1,-5.5,81,9,2,3
2017-01-03T10:00:00.000000,0.7,0.0,998.4,-1.3,82,10,2,3
2017-01-03T11:00:00.000000,1.5,0.0,996.1,10.2,80,11,2,3
2017-01-03T12:00:00.000000,0.7,0.0,993.8,39.3,78,12,2,3
2017-01-03T13:00:00.000000,1.2,38.0,991.4,59.8,79,13,2,3
2017-01-03T14:00:00.000000,0.5,60.0,989.3,85.5,79,14,2,3
2017-01-03T15:00:00.000000,1.2,20.0,988.3,29.5,78,15,2,3
2017-01-03T16:00:00.000000,0.8,4.0,987.7,-0.6,84,16,2,3
2017-01-03T17:00:00.000000,1.3,0.0,987.0,-6.4,84,17,2,3
2017-01-03T18:00:00.000000,0.3,0.0,986.9,-7.2,88,18,2,3
2017-01-03T19:00:00.000000,4.2,0.0,986.5,-6.2,74,19,2,3
2017-01-03T20:00:00.000000,0.7,0.0,986.7,-7.1,73,20,2,3
2017-01-03T21:00:00.000000,1.0,0.0,986.7,-7.5,71,21,2,3
2017-01-03T22:00:00.000000,1.8,0.0,986.4,-6.7,70,22,2,3
2017-01-03T23:00:00.000000,2.2,0.0,986.9,-6.3,69,23,2,3
2017-01-04T00:00:00.000000,3.1,0.0,986.9,-5.5,63,0,3,4
2017-01-04T01:00:00.000000,2.1,0.0,987.7,-6.4,64,1,3,4
2017-01-04T02:00:00.000000,4.2,0.0,989.0,-6.7,62,2,3,4
2017-01-04T03:00:00.000000,4.2,0.0,990.9,-6.4,65,3,3,4
2017-01-04T04:00:00.000000,5.3,0.0,993.2,-6.0,65,4,3,4
2017-01-04T05:00:00.000000,4.7,0.0,995.5,-6.2,62,5,3,4
2017-01-04T06:00:00.000000,2.0,0.0,997.4,-6.3,65,6,3,4
2017-01-04T07:00:00.000000,5.8,0.0,998.6,-6.0,66,7,3,4
2017-01-04T08:00:00.000000,4.8,0.0,1000.9,-5.8,64,8,3,4
2017-01-04T09:00:00.000000,5.5,0.0,1002.2,-5.1,54,9,3,4
2017-01-04T10:00:00.000000,8.8,0.0,1003.5,0.7,42,10,3,4
2017-01-04T11:00:00.000000,8.9,29.0,1004.7,37.6,44,11,3,4
2017-01-04T12:00:00.000000,7.4,42.0,1006.1,75.5,45,12,3,4
2017-01-04T13:00:00.000000,7.2,1.0,1007.9,33.7,47,13,3,4
2017-01-04T14:00:00.000000,7.8,0.0,1009.8,21.8,60,14,3,4
2017-01-04T15:00:00.000000,7.8,0.0,1011.4,15.7,64,15,3,4
2017-01-04T16:00:00.000000,6.1,0.0,1013.5,-0.5,60,16,3,4
2017-01-04T17:00:00.000000,6.4,0.0,1014.9,-5.3,62,17,3,4
2017-01-04T18:00:00.000000,7.3,0.0,1016.8,-5.6,68,18,3,4
2017-01-04T19:00:00.000000,5.2,0.0,1018.5,-5.5,81,19,3,4
2017-01-04T20:00:00.000000,4.7,0.0,1020.4,-5.1,76,20,3,4
2017-01-04T21:00:00.000000,4.8,0.0,1022.2,-5.0,73,21,3,4
2017-01-04T22:00:00.000000,4.7,0.0,1023.9,-4.8,72,22,3,4
2017-01-04T23:00:00.000000,1.9,0.0,1025.5,-5.9,72,23,3,4
2017-01-05T00:00:00.000000,2.9,0.0,1026.9,-5.9,71,0,4,5
2017-01-05T01:00:00.000000,2.7,0.0,1028.2,-6.2,71,1,4,5
2017-01-05T02:00:00.000000,1.0,0.0,1029.2,-6.7,73,2,4,5
2017-01-05T03:00:00.000000,1.2,0.0,1030.4,-6.6,76,3,4,5
2017-01-05T04:00:00.000000,2.5,0.0,1031.0,-6.9,74,4,4,5
2017-01-05T05:00:00.000000,2.2,0.0,1032.4,-6.5,71,5,4,5
2017-01-05T06:00:00.000000,1.3,0.0,1033.1,-6.2,75,6,4,5
2017-01-05T07:00:00.000000,0.8,0.0,1034.0,-5.9,80,7,4,5
2017-01-05T08:00:00.000000,1.5,0.0,1034.7,-6.2,80,8,4,5
2017-01-05T09:00:00.000000,2.4,0.0,1035.2,-6.7,79,9,4,5
2017-01-05T10:00:00.000000,2.3,26.0,1036.0,8.6,76,10,4,5
2017-01-05T11:00:00.000000,2.1,60.0,1036.6,56.1,72,11,4,5
2017-01-05T12:00:00.000000,0.4,60.0,1036.7,96.8,71,12,4,5
2017-01-05T13:00:00.000000,1.2,60.0,1036.9,106.7,66,13,4,5
2017-01-05T14:00:00.000000,1.3,39.0,1037.4,65.9,70,14,4,5
2017-01-05T15:00:00.000000,1.6,33.0,1037.9,22.3,76,15,4,5
2017-01-05T16:00:00.000000,1.6,3.0,1038.0,0.6,74,16,4,5
2017-01-05T17:00:00.000000,0.6,0.0,1038.1,-6.1,81,17,4,5
2017-01-05T18:00:00.000000,1.9,0.0,1038.3,-6.6,83,18,4,5
2017-01-05T19:00:00.000000,0.3,0.0,1038.6,-6.7,82,19,4,5
2017-01-05T20:00:00.000000,1.8,0.0,1038.5,-6.4,83,20,4,5
2017-01-05T21:00:00.000000,1.5,0.0,1038.7,-6.4,83,21,4,5
2017-01-05T22:00:00.000000,2.0,0.0,1038.9,-5.8,83,22,4,5
2017-01-05T23:00:00.000000,1.4,0.0,1038.5,-5.6,81,23,4,5
2017-01-06T00:00:00.000000,1.9,0.0,1038.3,-6.5,83,0,5,6
2017-01-06T01:00:00.000000,2.2,0.0,1037.8,-6.0,85,1,5,6
2017-01-06T02:00:00.000000,2.2,0.0,1037.3,-5.7,85,2,5,6
2017-01-06T03:00:00.000000,2.4,0.0,1036.5,-5.8,85,3,5,6
2017-01-06T04:00:00.000000,1.5,0.0,1036.4,-5.8,85,4,5,6
2017-01-06T05:00:00.000000,1.8,0.0,1036.0,-5.8,85,5,5,6
2017-01-06T06:00:00.000000,1.2,0.0,1035.7,-5.9,84,6,5,6
2017-01-06T07:00:00.000000,1.1,0.0,1035.0,-5.5,84,7,5,6
2017-01-06T08:00:00.000000,0.5,0.0,1034.5,-5.5,90,8,5,6
2017-01-06T09:00:00.000000,1.3,0.0,1033.9,-5.2,89,9,5,6
2017-01-06T10:00:00.000000,0.7,0.0,1033.6,5.0,86,10,5,6
2017-01-06T11:00:00.000000,1.2,0.0,1032.7,16.1,86,11,5,6
2017-01-06T12:00:00.000000,1.7,0.0,1031.9,16.2,86,12,5,6
2017-01-06T13:00:00.000000,2.4,0.0,1030.8,21.0,89,13,5,6
2017-01-06T14:00:00.000000,2.6,0.0,1030.1,15.1,93,14,5,6
2017-01-06T15:00:00.000000,5.0,0.0,1028.7,1.9,94,15,5,6
2017-01-06T16:00:00.000000,3.1,0.0,1028.0,-1.9,93,16,5,6
2017-01-06T17:00:00.000000,3.9,0.0,1027.0,-4.5,94,17,5,6
2017-01-06T18:00:00.000000,3.8,0.0,1025.5,-4.5,95,18,5,6
2017-01-06T19:00:00.000000,3.3,0.0,1024.4,-5.0,97,19,5,6
2017-01-06T20:00:00.000000,4.4,0.0,1022.6,-5.0,98,20,5,6
2017-01-06T21:00:00.000000,5.0,0.0,1021.2,-4.4,96,21,5,6
2017-01-06T22:00:00.000000,4.9,0.0,1020.1,-4.7,93,22,5,6
2017-01-06T23:00:00.000000,4.4,0.0,1019.5,-4.5,90,23,5,6
2017-01-07T00:00:00.000000,3.7,0.0,1019.1,-4.4,89,0,6,7
2017-01-07T01:00:00.000000,3.7,0.0,1018.3,-4.6,90,1,6,7
2017-01-07T02:00:00.000000,3.6,0.0,1017.4,-4.8,90,2,6,7
2017-01-07T03:00:00.000000,2.8,0.0,1016.7,-5.1,93,3,6,7
2017-01-07T04:00:00.000000,0.7,0.0,1016.3,-5.9,94,4,6,7
2017-01-07T05:00:00.000000,0.5,0.0,1016.5,-7.1,96,5,6,7
2017-01-07T06:00:00.000000,0.9,0.0,1016.6,-6.6,97,6,6,7
2017-01-07T07:00:00.000000,2.9,0.0,1017.0,-6.2,97,7,6,7
2017-01-07T08:00:00.000000,3.7,0.0,1017.9,-6.4,97,8,6,7
2017-01-07T09:00:00.000000,1.8,0.0,1019.6,-6.3,96,9,6,7
2017-01-07T10:00:00.000000,1.8,0.0,1020.4,2.9,92,10,6,7
2017-01-07T11:00:00.000000,2.6,0.0,1021.2,33.4,83,11,6,7
2017-01-07T12:00:00.000000,1.0,0.0,1022.0,60.0,85,12,6,7
2017-01-07T13:00:00.000000,0.4,60.0,1022.5,97.1,82,13,6,7
2017-01-07T14:00:00.000000,1.1,60.0,1022.8,86.6,82,14,6,7
2017-01-07T15:00:00.000000,1.4,30.0,1023.3,40.6,84,15,6,7
2017-01-07T16:00:00.000000,0.6,0.0,1023.8,-0.5,90,16,6,7
2017-01-07T17:00:00.000000,1.6,0.0,1024.6,-6.9,88,17,6,7
2017-01-07T18:00:00.000000,1.5,0.0,1025.5,-7.1,92,18,6,7
2017-01-07T19:00:00.000000,1.1,0.0,1025.7,-6.7,91,19,6,7
2017-01-07T20:00:00.000000,1.2,0.0,1026.2,-7.2,92,20,6,7
2017-01-07T21:00:00.000000,1.2,0.0,1026.5,-6.7,91,21,6,7
2017-01-07T22:00:00.000000,0.6,0.0,1026.8,-4.6,92,22,6,7
2017-01-07T23:00:00.000000,1.3,0.0,1027.1,-6.4,92,23,6,7
2017-01-08T00:00:00.000000,1.4,0.0,1026.9,-6.2,90,0,7,8
2017-01-08T01:00:00.000000,1.6,0.0,1027.0,-7.1,92,1,7,8
2017-01-08T02:00:00.000000,1.6,0.0,1026.4,-7.1,92,2,7,8
2017-01-08T03:00:00.000000,0.8,0.0,1026.2,-6.3,94,3,7,8
2017-01-08T04:00:00.000000,0.9,0.0,1025.7,-5.7,92,4,7,8
2017-01-08T05:00:00.000000,1.0,0.0,1025.0,-5.0,95,5,7,8
2017-01-08T06:00:00.000000,0.9,0.0,1024.8,-4.6,96,6,7,8
2017-01-08T07:00:00.000000,0.5,0.0,1024.3,-5.1,98,7,7,8
2017-01-08T08:00:00.000000,1.1,0.0,1024.1,-4.6,97,8,7,8
2017-01-08T09:00:00.000000,0.8,0.0,1023.9,-4.8,98,9,7,8
2017-01-08T10:00:00.000000,0.8,0.0,1023.4,-1.7,97,10,7,8
2017-01-08T11:00:00.000000,1.2,0.0,1023.0,7.7,98,11,7,8
2017-01-08T12:00:00.000000,0.8,0.0,1023.2,22.7,98,12,7,8
2017-01-08T13:00:00.000000,0.5,0.0,1022.7,52.1,98,13,7,8
2017-01-08T14:00:00.000000,0.9,0.0,1021.9,53.4,96,14,7,8
2017-01-08T15:00:00.000000,0.9,0.0,1021.4,19.2,96,15,7,8
2017-01-08T16:00:00.000000,1.1,0.0,1021.5,-1.8,96,16,7,8
2017-01-08T17:00:00.000000,0.4,0.0,1021.2,-6.4,94,17,7,8
2017-01-08T18:00:00.000000,1.2,0.0,1020.9,-6.9,94,18,7,8
2017-01-08T19:00:00.000000,0.7,0.0,1020.7,-6.4,96,19,7,8
2017-01-08T20:00:00.000000,0.8,0.0,1020.1,-6.4,96,20,7,8
2017-01-08T21:00:00.000000,0.6,0.0,1019.9,-6.0,97,21,7,8
2017-01-08T22:00:00.000000,0.1,0.0,1019.9,-6.0,97,22,7,8
2017-01-08T23:00:00.000000,1.6,0.0,1019.5,-5.4,98,23,7,8
2017-01-09T00:00:00.000000,1.1,0.0,1019.6,-5.8,97,0,1,9
2017-01-09T01:00:00.000000,0.7,0.0,1019.5,-6.3,97,1,1,9
2017-01-09T02:00:00.000000,1.8,0.0,1019.4,-6.4,95,2,1,9
2017-01-09T03:00:00.000000,2.5,0.0,1018.4,-5.8,94,3,1,9
2017-01-09T04:00:00.000000,1.6,0.0,1017.6,-5.8,94,4,1,9
2017-01-09T05:00:00.000000,0.5,0.0,1017.1,-6.7,96,5,1,9
2017-01-09T06:00:00.000000,0.9,0.0,1016.5,-6.2,96,6,1,9
2017-01-09T07:00:00.000000,0.4,0.0,1015.6,-5.3,95,7,1,9
2017-01-09T08:00:00.000000,1.1,0.0,1015.0,-5.8,96,8,1,9
2017-01-09T09:00:00.000000,0.7,0.0,1014.5,-5.1,98,9,1,9
2017-01-09T10:00:00.000000,1.5,0.0,1013.8,-0.6,98,10,1,9
2017-01-09T11:00:00.000000,0.9,0.0,1013.4,8.7,99,11,1,9
2017-01-09T12:00:00.000000,1.1,0.0,1012.5,16.1,99,12,1,9
2017-01-09T13:00:00.000000,0.9,0.0,1011.7,20.9,99,13,1,9
2017-01-09T14:00:00.000000,0.6,0.0,1010.7,15.7,99,14,1,9
2017-01-09T15:00:00.000000,1.2,0.0,1009.8,3.2,99,15,1,9
2017-01-09T16:00:00.000000,0.6,0.0,1009.5,-3.3,99,16,1,9
2017-01-09T17:00:00.000000,1.8,0.0,1008.9,-5.0,99,17,1,9
2017-01-09T18:00:00.000000,0.6,0.0,1007.7,-5.4,99,18,1,9
2017-01-09T19:00:00.000000,1.3,0.0,1007.2,-5.8,99,19,1,9
2017-01-09T20:00:00.000000,3.1,0.0,1006.7,-6.2,99,20,1,9
2017-01-09T21:00:00.000000,4.6,0.0,1006.1,-5.3,100,21,1,9
2017-01-09T22:00:00.000000,5.3,0.0,1005.9,-4.5,99,22,1,9
2017-01-09T23:00:00.000000,4.5,0.0,1005.4,-4.7,98,23,1,9
2017-01-10T00:00:00.000000,4.6,0.0,1005.1,-4.9,97,0,2,10
2017-01-10T01:00:00.000000,4.2,0.0,1004.6,-5.0,97,1,2,10
2017-01-10T02:00:00.000000,3.9,0.0,1004.4,-4.7,96,2,2,10
2017-01-10T03:00:00.000000,4.0,0.0,1004.1,-4.9,95,3,2,10
2017-01-10T04:00:00.000000,3.7,0.0,1003.8,-4.7,96,4,2,10
2017-01-10T05:00:00.000000,3.7,0.0,1003.5,-4.8,96,5,2,10
2017-01-10T06:00:00.000000,4.1,0.0,1003.3,-4.8,96,6,2,10
2017-01-10T07:00:00.000000,3.8,0.0,1003.3,-4.6,96,7,2,10
2017-01-10T08:00:00.000000,3.0,0.0,1003.5,-4.8,96,8,2,10
2017-01-10T09:00:00.000000,2.9,0.0,1003.6,-4.8,96,9,2,10
2017-01-10T10:00:00.000000,2.7,0.0,1003.3,-1.9,95,10,2,10
2017-01-10T11:00:00.000000,4.4,0.0,1003.2,23.0,94,11,2,10
2017-01-10T12:00:00.000000,4.3,0.0,1002.8,16.1,94,12,2,10
2017-01-10T13:00:00.000000,3.8,0.0,1002.1,14.0,95,13,2,10
2017-01-10T14:00:00.000000,3.2,0.0,1001.5,6.1,95,14,2,10
2017-01-10T15:00:00.000000,3.8,0.0,1001.1,-1.1,95,15,2,10
2017-01-10T16:00:00.000000,3.2,0.0,1000.7,-3.5,96,16,2,10
2017-01-10T17:00:00.000000,3.0,0.0,1000.0,-3.7,96,17,2,10
2017-01-10T18:00:00.000000,3.7,0.0,999.7,-3.9,97,18,2,10
2017-01-10T19:00:00.000000,3.0,0.0,999.4,-4.8,97,19,2,10
2017-01-10T20:00:00.000000,3.4,0.0,998.8,-5.2,94,20,2,10
2017-01-10T21:00:00.000000,4.9,0.0,997.9,-5.1,94,21,2,10
2017-01-10T22:00:00.000000,6.1,0.0,996.8,-4.7,94,22,2,10
2017-01-10T23:00:00.000000,6.1,0.0,995.2,-4.4,96,23,2,10
2017-01-11T00:00:00.000000,6.4,0.0,994.4,-4.1,96,0,3,11
2017-01-11T01:00:00.000000,5.7,0.0,993.1,-4.6,96,1,3,11
2017-01-11T02:00:00.000000,5.7,0.0,991.7,-4.6,89,2,3,11
2017-01-11T03:00:00.000000,6.5,0.0,990.4,-4.7,88,3,3,11
2017-01-11T04:00:00.000000,4.8,0.0,989.4,-4.8,91,4,3,11
2017-01-11T05:00:00.000000,5.5,0.0,987.5,-4.4,89,5,3,11
2017-01-11T06:00:00.000000,7.3,0.0,985.5,-4.3,89,6,3,11
2017-01-11T07:00:00.000000,6.6,0.0,983.6,-4.5,92,7,3,11
2017-01-11T08:00:00.000000,7.9,0.0,981.4,-3.7,92,8,3,11
2017-01-11T09:00:00.000000,8.5,0.0,979.2,-3.7,91,9,3,11
2017-01-11T10:00:00.000000,4.2,0.0,977.1,-2.3,93,10,3,11
2017-01-11T11:00:00.000000,3.8,0.0,974.5,3.6,93,11,3,11
2017-01-11T12:00:00.000000,4.0,0.0,971.5,17.5,92,12,3,11
2017-01-11T13:00:00.000000,3.2,0.0,969.2,10.1,93,13,3,11
2017-01-11T14:00:00.000000,3.6,0.0,967.6,8.7,94,14,3,11
2017-01-11T15:00:00.000000,3.4,0.0,966.3,1.4,92,15,3,11
2017-01-11T16:00:00.000000,3.5,0.0,965.9,-3.0,92,16,3,11
2017-01-11T17:00:00.000000,3.0,0.0,966.2,-5.3,94,17,3,11
2017-01-11T18:00:00.000000,2.5,0.0,966.9,-6.0,88,18,3,11
2017-01-11T19:00:00.000000,1.7,0.0,968.0,-6.5,94,19,3,11
2017-01-11T20:00:00.000000,1.8,0.0,969.0,-6.0,87,20,3,11
2017-01-11T21:00:00.000000,0.8,0.0,970.3,-6.7,95,21,3,11
2017-01-11T22:00:00.000000,1.4,0.0,971.4,-6.1,96,22,3,11
2017-01-11T23:00:00.000000,3.3,0.0,972.3,-5.6,74,23,3,11
2017-01-12T00:00:00.000000,2.2,0.0,973.7,-5.8,74,0,4,12
2017-01-12T01:00:00.000000,2.9,0.0,974.5,-6.1,72,1,4,12
2017-01-12T02:00:00.000000,3.7,0.0,974.7,-6.6,71,2,4,12
2017-01-12T03:00:00.000000,4.0,0.0,974.7,-6.6,77,3,4,12
2017-01-12T04:00:00.000000,3.7,0.0,975.2,-6.6,73,4,4,12
2017-01-12T05:00:00.000000,2.1,0.0,975.0,-6.4,77,5,4,12
2017-01-12T06:00:00.000000,1.1,0.0,974.6,-6.2,80,6,4,12
2017-01-12T07:00:00.000000,1.8,0.0,974.3,-6.4,82,7,4,12
2017-01-12T08:00:00.000000,1.3,0.0,974.9,-6.7,85,8,4,12
2017-01-12T09:00:00.000000,2.2,0.0,975.5,-6.0,84,9,4,12
2017-01-12T10:00:00.000000,0.8,0.0,975.9,3.9,89,10,4,12
2017-01-12T11:00:00.000000,1.2,0.0,976.0,29.4,82,11,4,12
2017-01-12T12:00:00.000000,1.6,0.0,976.7,51.5,80,12,4,12
2017-01-12T13:00:00.000000,1.8,0.0,976.5,58.0,79,13,4,12
2017-01-12T14:00:00.000000,1.8,25.0,976.7,93.8,76,14,4,12
2017-01-12T15:00:00.000000,3.3,0.0,976.9,13.0,78,15,4,12
2017-01-12T16:00:00.000000,1.8,22.0,977.1,1.7,75,16,4,12
2017-01-12T17:00:00.000000,1.6,0.0,977.5,-6.2,78,17,4,12
2017-01-12T18:00:00.000000,1.0,0.0,977.7,-6.4,78,18,4,12
2017-01-12T19:00:00.000000,1.6,0.0,978.1,-7.2,77,19,4,12
2017-01-12T20:00:00.000000,2.7,0.0,978.4,-6.0,76,20,4,12
2017-01-12T21:00:00.000000,1.4,0.0,979.1,-5.7,75,21,4,12
2017-01-12T22:00:00.000000,3.8,0.0,979.6,-5.8,72,22,4,12
2017-01-12T23:00:00.000000,3.2,0.0,980.1,-5.7,68,23,4,12
2017-01-13T00:00:00.000000,2.2,0.0,980.4,-5.6,69,0,5,13
2017-01-13T01:00:00.000000,0.5,0.0,980.9,-6.3,75,1,5,13
2017-01-13T02:00:00.000000,0.8,0.0,981.7,-7.3,81,2,5,13
2017-01-13T03:00:00.000000,2.2,0.0,982.4,-7.5,80,3,5,13
2017-01-13T04:00:00.000000,0.2,0.0,982.7,-7.0,79,4,5,13
2017-01-13T05:00:00.000000,1.0,0.0,983.3,-7.8,86,5,5,13
2017-01-13T06:00:00.000000,1.9,0.0,983.9,-7.7,87,6,5,13
2017-01-13T07:00:00.000000,1.8,0.0,984.3,-7.3,89,7,5,13
2017-01-13T08:00:00.000000,0.8,0.0,985.3,-7.6,89,8,5,13
2017-01-13T09:00:00.000000,1.2,0.0,986.1,-6.2,90,9,5,13
2017-01-13T10:00:00.000000,1.5,31.0,986.7,11.7,89,10,5,13
2017-01-13T11:00:00.000000,2.4,60.0,987.0,64.1,83,11,5,13
2017-01-13T12:00:00.000000,1.3,60.0,987.3,111.5,78,12,5,13
2017-01-13T13:00:00.000000,1.5,60.0,987.6,124.0,79,13,5,13
2017-01-13T14:00:00.000000,0.2,60.0,988.0,103.6,76,14,5,13
2017-01-13T15:00:00.000000,1.3,60.0,988.2,56.2,78,15,5,13
2017-01-13T16:00:00.000000,0.6,33.0,988.7,6.7,85,16,5,13
2017-01-13T17:00:00.000000,1.3,0.0,989.3,-6.7,87,17,5,13
2017-01-13T18:00:00.000000,1.4,0.0,989.8,-7.0,88,18,5,13
2017-01-13T19:00:00.000000,2.9,0.0,990.3,-7.3,87,19,5,13
2017-01-13T20:00:00.000000,2.1,0.0,990.5,-7.1,86,20,5,13
2017-01-13T21:00:00.000000,0.6,0.0,990.9,-7.3,89,21,5,13
2017-01-13T22:00:00.000000,0.3,0.0,991.3,-6.5,89,22,5,13
2017-01-13T23:00:00.000000,0.1,0.0,991.8,-6.4,92,23,5,13
2017-01-14T00:00:00.000000,0.5,0.0,992.1,-6.9,91,0,6,14
2017-01-14T01:00:00.000000,0.9,0.0,992.3,-6.9,91,1,6,14
2017-01-14T02:00:00.000000,1.4,0.0,992.9,-7.0,93,2,6,14
2017-01-14T03:00:00.000000,1.0,0.0,993.2,-6.9,91,3,6,14
2017-01-14T04:00:00.000000,0.2,0.0,993.7,-7.1,93,4,6,14
2017-01-14T05:00:00.000000,0.3,0.0,994.1,-6.7,91,5,6,14
2017-01-14T06:00:00.000000,0.4,0.0,994.8,-6.3,92,6,6,14
2017-01-14T07:00:00.000000,0.2,0.0,995.4,-5.6,90,7,6,14
2017-01-14T08:00:00.000000,0.8,0.0,996.2,-5.7,88,8,6,14
2017-01-14T09:00:00.000000,1.2,0.0,996.9,-5.4,88,9,6,14
2017-01-14T10:00:00.000000,1.1,0.0,997.8,14.8,85,10,6,14
2017-01-14T11:00:00.000000,0.7,0.0,998.6,37.3,80,11,6,14
2017-01-14T12:00:00.000000,4.3,0.0,999.2,60.0,66,12,6,14
2017-01-14T13:00:00.000000,4.5,0.0,999.8,43.6,64,13,6,14
2017-01-14T14:00:00.000000,5.3,0.0,1000.7,37.8,66,14,6,14
2017-01-14T15:00:00.000000,5.9,0.0,1001.7,36.4,68,15,6,14
2017-01-14T16:00:00.000000,5.0,0.0,1002.9,6.2,66,16,6,14
2017-01-14T17:00:00.000000,6.4,0.0,1003.9,-5.4,58,17,6,14
2017-01-14T18:00:00.000000,3.0,0.0,1004.7,-6.2,62,18,6,14
2017-01-14T19:00:00.000000,3.8,0.0,1005.5,-6.2,57,19,6,14
2017-01-14T20:00:00.000000,2.5,0.0,1006.3,-7.1,62,20,6,14
2017-01-14T21:00:00.000000,3.3,0.0,1007.1,-7.2,60,21,6,14
2017-01-14T22:00:00.000000,3.0,0.0,1007.8,-7.3,60,22,6,14
2017-01-14T23:00:00.000000,2.1,0.0,1008.7,-7.0,57,23,6,14
2017-01-15T00:00:00.000000,4.5,0.0,1009.4,-7.0,62,0,7,15
2017-01-15T01:00:00.000000,3.0,0.0,1010.1,-6.9,64,1,7,15
2017-01-15T02:00:00.000000,1.8,0.0,1010.5,-7.2,70,2,7,15
2017-01-15T03:00:00.000000,0.7,0.0,1011.5,-7.0,73,3,7,15
2017-01-15T04:00:00.000000,1.3,0.0,1012.1,-6.8,71,4,7,15
2017-01-15T05:00:00.000000,1.7,0.0,1012.5,-6.9,70,5,7,15
2017-01-15T06:00:00.000000,1.7,0.0,1013.1,-7.0,68,6,7,15
2017-01-15T07:00:00.000000,0.7,0.0,1013.9,-7.2,68,7,7,15
2017-01-15T08:00:00.000000,1.1,0.0,1014.5,-6.9,70,8,7,15
2017-01-15T09:00:00.000000,1.7,0.0,1015.6,-5.8,71,9,7,15
2017-01-15T10:00:00.000000,0.9,38.0,1016.4,16.3,70,10,7,15
2017-01-15T11:00:00.000000,1.2,60.0,1016.8,71.4,67,11,7,15
2017-01-15T12:00:00.000000,0.8,60.0,1017.1,114.2,56,12,7,15
2017-01-15T13:00:00.000000,0.8,60.0,1017.8,131.0,53,13,7,15
2017-01-15T14:00:00.000000,1.1,60.0,1018.3,112.4,56,14,7,15
2017-01-15T15:00:00.000000,1.9,60.0,1019.1,66.0,48,15,7,15
2017-01-15T16:00:00.000000,2.3,41.0,1019.5,13.1,51,16,7,15
2017-01-15T17:00:00.000000,0.6,0.0,1020.4,-6.6,60,17,7,15
2017-01-15T18:00:00.000000,1.0,0.0,1021.3,-7.1,65,18,7,15
2017-01-15T19:00:00.000000,0.8,0.0,1021.9,-7.1,71,19,7,15
2017-01-15T20:00:00.000000,1.3,0.0,1022.1,-7.3,73,20,7,15
2017-01-15T21:00:00.000000,0.8,0.0,1022.8,-7.2,74,21,7,15
2017-01-15T22:00:00.000000,1.2,0.0,1023.3,-7.0,81,22,7,15
